"",Season,Episode,Character,Line,Segment,WC,WPS,BigWords,Dic,IVED
12735,13,11,Larry King,Once you became captain the methods used to stop the Japanese definitely became more aggressive. Was that the key to help boost your ratings?,1,24,12,25,0,0
12736,13,11,Stan,"...No, I don't care about the show.",1,7,7,0,0,0
12737,13,11,Woman 2,We're pirates.,1,2,2,50,0,0
12738,13,11,Stan,I just want people to know that you can stop the Japanese if you have some real goddamned balls,1,19,19,10.53,0,0
12739,13,11,Woman 2,I've got balls!,1,3,3,0,0,0
12740,13,11,Larry King,"Well there are many people who see what you're doing as a positive thing, and of course, many that see problems with it. Joining us now is one of those people and...  You say Stan's methods are unethical.",1,38,12.67,13.16,0,0
12741,13,11,Sid,"Larry, you can't just go out and take matters into your own hands like this. If you want a hit TV show you have to go through producers, directors, people that are in unions.",1,34,17,11.76,2.94,2.94
12742,13,11,Larry King,"But Sid, you saw the show before Stan took it over; you have to admit that it was nothing but incompetent vegan pussies doing absolutely nothing and trying to turn it into drama.",1,33,33,15.15,0,0
12743,13,11,Sid,"Yes, but it doesn't justify changing the entire show structure that their old captain had pitched to the network.",1,19,19,31.58,0,0
12744,13,11,Stan,Can we please just talk about the actual whaling problem for a second?!,1,13,13,15.38,0,0
12745,13,11,Larry King,"But their old captain, Paul Watson , was an unorganized incompetent media whore who thought lying to everyone was okay as long as it served his cause.",1,26,26,19.23,3.85,3.85
12746,13,11,Sid,"He yes, of course, everyone knows that Paul Watson was a smug, narcoleptic liar with no credibility, but we must-",1,20,20,15,0,0
12747,13,11,Stan,"Screw this, I gotta get back to work!",1,8,8,0,0,0
12748,13,11,Announcer,"On this episode of Real Actual Whale Wars, Captain Marsh searches for the Japanese fleet, knowing they could be absolutely anywhere.",1,21,21,33.33,4.76,4.76
12749,13,11,Stan,Would you mind stepping back a little?,1,7,7,14.29,0,0
12750,13,11,Luke,"Captain! Captain, some new volunteers showed up to help us in our crusade!",1,13,6.5,30.77,0,0
12751,13,11,Stan,"No- Dude, we really can't take any more volunteers.",1,9,9,11.11,0,0
12752,13,11,Luke,But they say you know them.,1,6,6,0,0,0
12753,13,11,Cartman,"Ahall right dude, this is pretty sweet! .",1,7,7,0,0,0
12754,13,11,Stan,"Oh no, no, NO.",1,4,4,0,0,0
12755,13,11,Cartman,What dude?,1,2,2,0,0,0
12756,13,11,Stan,Oh what? So now that I have a hit TV show you guys care about dolphins and whales?,1,18,9,5.56,5.56,5.56
12757,13,11,Cartman,We always have.,1,3,3,0,0,0
12758,13,11,Kenny,"(Yeah, totally!)",1,2,2,50,0,0
12759,13,11,Stan,I asked you guys to help me and you said no!,1,11,11,0,0,0
12760,13,11,Cartman,That's not what we said.,1,5,5,0,0,0
12761,13,11,Stan,"You said ""Stan, me and Kenny don't give two shits about stupid-ass whales!""",1,13,13,7.69,0,0
12762,13,11,Cartman,We were talking about Wales the country.,1,7,7,28.57,0,0
12763,13,11,Stan,"Look, if you admit that you're only doing this because you wanna be on TV, then I'll consider it! Admit you just wanna be on TV!",1,26,13,7.69,0,0
12764,13,11,Kenny,(I just want to be on TV.),1,7,7,0,0,0
12765,13,11,Cartman,Kenny!  I deserve to be on TV.,1,7,3.5,14.29,0,0
12766,13,11,Crewman 2,"Captain! Captain, the Japanese have been spotted near buoy 24!",1,10,5,40,0,0
12767,13,11,Stan,Take us out of port! All hands to stations!,1,9,4.5,11.11,0,0
12768,13,11,Cartman,"All right! Let's go save those whales, you guys!",1,9,4.5,0,0,0
12769,13,11,Announcer,"Captain Marsh races his boat to the last known location of the Japanese whalers. If he doesn't get there in time, hundreds of dolphins or whales could die.",1,28,14,21.43,0,0
12770,13,11,Stan,"As soon as we get there, we've gotta deploy the tracking device! We can't let those whales get hurt!",1,19,9.5,5.26,0,0
12771,13,11,Crewman 2,What the hell was that?!,1,5,5,0,0,0
12772,13,11,Crewman 3,We just got rammed.,1,4,4,0,0,0
12773,13,11,Stan,"Oh the Japanese wanna play that way, huh?!",1,8,8,12.5,0,0
12774,13,11,Crewman 4,It's not the Japanese.,1,4,4,25,0,0
12775,13,11,Stan,What?,1,1,1,0,0,0
12776,13,11,Announcer,"On deck the crew is surprised at what they see. The other boat is from Deadliest Catch, a crab-fishing reality show.",1,21,10.5,19.05,0,0
12777,13,11,DC Captain,"You think you're so cool, don'tcha?! You think you're big boat reality show on the block?!  You're taking away men's livelihoods!",1,22,7.33,9.09,0,0
12778,13,11,Stan,"What? Dude, we're trying to get to some whales.",1,9,4.5,0,0,0
12779,13,11,DC Captain,"You're taking viewers away from our show, you stupid ass!",1,10,10,10,0,0
12780,13,11,Cartman,"Your show is fuckin' gay, dude!",1,6,6,0,0,0
12781,13,11,DC Crewman,Your show is fuckin' gay!,1,5,5,0,0,0
12782,13,11,Stan,Screw this! Turn hard to port!,1,6,3,0,0,0
12783,13,11,Announcer,"But everywhere his reality show's boat turns, the crab fishing reality boat block its path.",1,15,15,26.67,0,0
12784,13,11,Stan,"Dude, fuck you!",1,3,3,0,0,0
12785,13,11,DC Captain,Fuck you!,1,2,2,0,0,0
12786,13,11,Announcer,"It's been three hours and the crab fishing reality show isn't budging.  Captain Marsh's boat is dead in the water. He can't go after the Japanese, he can't help the whales or dolphins. Once again on Whale Wars, nothing is happening.",1,41,10.25,19.51,2.44,2.44
12787,13,11,Crewman 3,"It's pretty difficult times because uh, we know that every minute we're sitting here stopped, a, another whale is dying.",1,20,20,25,5,5
12788,13,11,Cartman,"Really tough, you know. It's... really hard. It's like , we've dedicated all this time and all our lives to saving these majestic creatures.",1,23,5.75,13.04,0,0
12789,13,11,Kenny,(And they're all shot.),1,4,4,0,0,0
12790,13,11,Cartman,"Shhh, Kenny...  Old Ken is taking it especially hard. He's always loved dolphins so much that he-  Yeah yeah but, but keep it in a two-shot, though.  Yeah, keep it there.  He's always loved dolphins so much that he would do anything.",1,42,8.4,11.9,0,0
12791,13,11,Kenny,(I would do anything!),1,4,4,25,0,0
12792,13,11,Announcer,The crab-fishing reality show was doing just fine.,1,8,8,25,0,0
12793,13,11,DC Crew,Yeah! Woohoo! Alright!,1,3,1,33.33,0,0
12794,13,11,Announcer,"But for the Whale Wars crew, it appears the show is over. Until... a sound is heard.",1,17,5.67,5.88,5.88,5.88
12795,13,11,Stan,What was that?,1,3,3,0,0,0
12796,13,11,Benjamin,"Captain, look!",1,2,2,50,0,0
12797,13,11,The Crew,Wow. Whoa.,1,2,1,0,0,0
12798,13,11,Woman 2,The whales are taking out the crab fisherman reality show!,1,10,10,20,0,0
12799,13,11,Stan,It's like... they know.,1,4,2,0,0,0
12800,13,11,DC Crewmen,Hey. Heeey. Noo! Stop!,1,4,1,0,0,0
12801,13,11,Stan,They do know. They know everything I've been trying to do for them.,1,13,6.5,7.69,0,0
12802,13,11,Cartman,Our gentle friends of the sea have saved the day. Because they know that only we can save them from the Japanese.,1,22,11,13.64,0,0
12803,13,11,Japanese Pilot,Bonzaaaaaaaai!,1,1,1,100,0,0
12804,13,11,Stan,Jesus Christ!  We've gotta get something to shoot 'em with!,1,10,5,10,10,10
12805,13,11,Woman 2,Look out!,1,2,2,0,0,0
12806,13,11,Stan,"I, I can't, I can't believe it.",1,7,7,14.29,0,0
