Season,Episode,Time_Stamp,Dialogue,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,Segment,HighControversial,MediumControversial,LowControversial
1,1,00:03:10,"Man, that guy must've been wasted","anger,disgust,negative",Negative,-2,Negative,1,0,0,16.67
1,1,00:03:14,And then there was that time at the ice cream store.,"anticipation,joy,positive,surprise",Neutral,0,Neutral,1,0,9.09,18.18
1,1,00:03:17,Butter Rum's my favorite.,"joy,positive,trust",Positive,2,Positive,1,0,0,0
1,1,00:03:21,Remember you had an Irish coffee the day we went to see Philadelphia?,Neutral,Neutral,0,Neutral,1,0,0,15.38
1,1,00:03:30,"I got it. That's the guy from Big. Tom Hanks, that's it.",Neutral,Positive,1,Neutral,1,0,0,8.33
1,1,00:03:34,"Funny guy, Tom Hanks. Everything he says is a stitch.",Neutral,Positive,4,Negative,1,0,0,10
1,1,00:03:37,I have AIDS.,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:03:40,"Promise me, Peter.","joy,positive,trust",Positive,1,Positive,1,0,0,0
1,1,00:03:40,"Lois, honey, I promise.","joy,positive,trust",Positive,1,Positive,1,0,0,0
1,1,00:03:43,Not a drop of alcohol is gonna touch these lips tonight.,Neutral,Negative,-1,Neutral,1,0,0,0
1,1,00:03:46,Who wants to play Drink The Beer?,"joy,positive",Neutral,0,Neutral,1,0,0,14.29
1,1,00:03:48,Right here.,Neutral,Neutral,0,Positive,1,0,0,0
1,1,00:03:49,You win.,Neutral,Positive,4,Positive,1,0,0,0
1,1,00:03:49,All right. What do I win?,Neutral,Positive,4,Positive,1,0,0,0
1,1,00:03:51,Another beer!,"joy,positive",Neutral,0,Neutral,1,0,0,0
1,1,00:03:52,I'm going for the high score!,"anticipation,joy,positive,surprise",Neutral,0,Neutral,1,0,0,0
1,1,00:03:54,"Actually, Charlie's got the high score.","anticipation,joy,positive,surprise",Neutral,0,Neutral,1,0,0,0
1,1,00:03:56,Man. Your clock won't flush.,"anticipation,positive",Neutral,0,Neutral,1,0,0,0
1,1,00:03:59,"I feel kind of bad, guys. I promised my wife I wouldn't drink.","anger,disgust,fear,joy,negative,positive,sadness,trust",Neutral,0,Negative,1,0,0,23.08
1,1,00:04:02,"Don't feel bad, Peter.","anger,disgust,fear,negative,sadness",Negative,-3,Negative,1,0,0,25
1,1,00:04:02,Gee. I never thought of it like that.,anticipation,Positive,2,Positive,1,0,0,12.5
1,1,00:04:05,Did you bring the porno?,negative,Neutral,0,Neutral,1,0,0,0
1,1,00:04:06,Did I bring the porno? You're gonna love it. It's a classic.,"joy,negative,positive",Positive,3,Positive,1,0,0,0
1,1,00:04:13,"Listen, Ilsa. If I take this thing out and you're not on it, you'll regret it. Not today or tomorrow.","anticipation,negative,sadness",Negative,-2,Negative,1,0,0,5
1,1,00:04:16,"But soon, and for the rest of your life.",positive,Neutral,0,Neutral,1,0,0,11.11
1,1,00:04:18,"Come on, llsa! Get on it!",Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:04:23,The statue was a gift from France.,"anticipation,joy,positive,surprise",Positive,2,Neutral,1,0,0,0
1,1,00:04:25,What is this?,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:04:26,Man. My kid must've taped over this for history class.,Neutral,Neutral,0,Neutral,1,0,10,0
1,1,00:04:30,The Statue of Liberty? What are we gonna do?,"anticipation,joy,positive,surprise,trust",Neutral,0,Positive,1,0,0,0
1,1,00:04:33,"Boys, we're gonna drink till she's hot.",anger,Neutral,0,Positive,1,0,0,14.29
1,1,00:04:33,That's just crazy enough to work.,"anger,fear,negative,sadness",Negative,-2,Negative,1,0,0,0
1,1,00:04:43,"Meg, finish your pancakes.",Neutral,Neutral,0,Neutral,1,0,0,25
1,1,00:04:45,"Chris, elbows off your father.",trust,Neutral,0,Neutral,1,0,0,20
1,1,00:04:48,"Thanks, son. a great example for the kids, Peter.",Neutral,Positive,5,Positive,1,0,0,11.11
1,1,00:04:52,"Yeah. A new family record. Way to raise the bar, Dad.",Neutral,Positive,1,Neutral,1,0,18.18,0
1,1,00:04:55,"Chris, you're 13. Don't talk like that.",positive,Positive,2,Positive,1,0,0,0
1,1,00:05:00,"Kids, Daddy only drank so the Statue of Liberty would take her clothes off.","anticipation,joy,positive,surprise,trust",Neutral,0,Positive,1,0,0,0
1,1,00:05:01,What did you promise me last night?,"joy,positive,trust",Positive,1,Positive,1,0,0,14.29
1,1,00:05:01,I wouldn't drink at the stag party.,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:05:05,And what did you do?,Neutral,Neutral,0,Neutral,1,0,0,0
